DATE,Open,High,Low,Close,Volume
11/09/2023,35633.63,37926.26,35592.1,36693.12,37762672381.84
11/10/2023,36702.25,37493.8,36362.76,37313.97,22711265155.03
11/11/2023,37310.07,37407.09,36773.67,37138.05,13924272141.51
11/12/2023,37133.99,37227.69,36779.12,37054.52,11545715998.89
11/13/2023,37070.31,37405.12,36399.61,36502.36,19057712790.07
11/14/2023,36491.79,36753.35,34948.5,35537.64,23857403554.48
11/15/2023,35548.11,37964.89,35383.78,37880.58,27365821678.50
11/16/2023,37879.98,37934.63,35545.47,36154.77,26007385365.73
11/17/2023,36164.82,36704.48,35901.24,36596.68,22445028429.93
11/18/2023,36625.37,36839.28,36233.31,36585.7,11886022717.42
11/19/2023,36585.77,37509.36,36414.6,37386.55,12915986552.51
11/20/2023,37374.07,37756.82,36882.53,37476.96,20888209068.00
11/21/2023,37469.16,37631.14,35813.81,35813.81,25172163755.87
11/22/2023,35756.55,37856.98,35670.97,37432.34,24397247860.33
11/23/2023,37420.43,37643.92,36923.86,37289.62,14214948217.22
11/24/2023,37296.32,38415.34,37261.61,37720.28,22922957822.74
11/25/2023,37721.41,37892.43,37617.42,37796.79,9099571165.44
11/26/2023,37796.83,37820.3,37162.75,37479.12,13744796068.31
11/27/2023,37454.19,37559.35,36750.13,37254.17,19002925719.53
11/28/2023,37247.99,38368.48,36891.09,37831.09,21696137014.15
11/29/2023,37826.11,38366.11,37612.63,37858.49,20728546657.66
11/30/2023,37861.12,38141.75,37531.14,37712.75,18115982627.42
12/01/2023,37718.01,38954.11,37629.36,38688.75,23512784001.94
12/02/2023,38689.28,39678.94,38652.6,39476.33,15534035611.94
12/03/2023,39472.21,40135.6,39298.17,39978.39,15769696321.58
12/04/2023,39978.63,42371.75,39978.63,41980.1,39856129826.57
12/05/2023,41986.26,44408.67,41421.15,44080.65,36312154534.70
12/06/2023,44080.02,44265.77,43478.08,43746.45,29909761585.63
12/07/2023,43769.13,44042.59,42880.65,43292.66,27635760670.97
12/08/2023,43293.13,44705.52,43125.3,44166.6,24421116686.73
12/09/2023,44180.02,44361.26,43627.6,43725.99,17368210171.26
12/10/2023,43728.38,44034.62,43593.28,43779.7,13000481418.42
12/11/2023,43792.02,43808.37,40234.58,41243.83,40632672038.10
12/12/2023,41238.73,42048.3,40667.56,41450.22,24779520131.83
12/13/2023,41468.47,43429.78,40676.87,42890.74,26797884673.86
12/14/2023,42884.26,43390.86,41767.09,43023.97,25578530177.94
12/15/2023,43028.25,43087.82,41692.97,41929.76,19639442461.70
12/16/2023,41937.74,42664.95,41723.11,42240.12,14386729589.96
12/17/2023,42236.11,42359.5,41274.54,41364.67,16678702876.00
12/18/2023,41348.2,42720.3,40530.26,42623.54,25224642007.51
12/19/2023,42641.51,43354.3,41826.34,42270.53,23171001281.00
12/20/2023,42261.3,44275.59,42223.82,43652.25,27868908174.14
12/21/2023,43648.12,44240.67,43330.05,43869.15,22452766168.52
12/22/2023,43868.99,44367.96,43441.97,43997.9,21028503216.23
12/23/2023,44012.2,44015.7,43351.36,43739.54,13507796558.22
12/24/2023,43728.37,43945.52,42786.92,43016.12,18830554084.77
12/25/2023,43010.57,43765.09,42765.77,43613.14,21115795370.27
12/26/2023,43599.85,43603.18,41676.49,42520.4,30026850981.84
12/27/2023,42518.47,43683.16,42167.58,43442.85,25260941031.66
12/28/2023,43468.2,43804.78,42318.55,42627.85,22992093013.71
12/29/2023,42614.64,43124.33,41424.06,42099.4,26000021055.12
12/30/2023,42091.75,42584.12,41556.23,42156.9,16013925944.56
12/31/2023,42152.1,42860.94,41998.26,42265.19,16397498809.56
01/01/2024,42280.24,44175.44,42214.98,44167.33,18426978443.25
01/02/2024,44187.14,45899.71,44176.95,44957.97,39335274535.93
01/03/2024,44961.6,45503.24,40813.53,42848.18,46342323118.41
01/04/2024,42855.81,44770.02,42675.17,44179.92,30448091209.81
01/05/2024,44192.98,44353.29,42784.72,44162.69,32336029346.80
01/06/2024,44178.95,44227.63,43475.16,43989.19,16092503467.55
01/07/2024,43998.46,44495.57,43662.23,43943.1,19330573863.32
01/08/2024,43948.71,47218.,43244.08,46970.5,42746192015.18
01/09/2024,46987.64,47893.7,45244.72,46139.73,39821290991.56
01/10/2024,46121.54,47647.22,44483.15,46627.78,50114613298.10
01/11/2024,46656.07,48969.37,45678.65,46368.59,45833734549.23
01/12/2024,46354.79,46498.13,41903.77,42853.17,43332698900.40
01/13/2024,42799.45,43234.66,42464.14,42842.38,20601860468.70
01/14/2024,42842.26,43065.6,41724.61,41796.27,17521429522.39
01/15/2024,41715.07,43319.72,41705.42,42511.97,22320220557.74
01/16/2024,42499.34,43566.27,42086.,43154.94,24062872739.52
01/17/2024,43132.1,43189.89,42189.31,42742.65,20851232595.16
01/18/2024,42742.31,42876.35,40631.17,41262.06,25218357242.10
01/19/2024,41278.46,42134.16,40297.46,41618.41,25752407154.41
01/20/2024,41624.59,41877.89,41446.82,41665.58,11586690904.11
01/21/2024,41671.49,41855.37,41497.01,41545.78,9344043641.69
01/22/2024,41553.65,41651.21,39450.12,39507.37,31338708142.69
01/23/2024,39518.72,40127.35,38521.89,39845.55,29244553045.30
01/24/2024,39877.6,40483.78,39508.8,40077.07,22359526178.02
01/25/2024,40075.55,40254.48,39545.66,39933.81,18491782013.19
01/26/2024,39933.81,39933.81,39933.81,39933.81,25598119893.13
01/27/2024,41815.63,42195.63,41431.28,42120.06,11422941934.26
01/28/2024,42126.13,42797.18,41696.91,42035.59,16858971687.07
